Company Name,Location,Headquarters,Size,Type of ownership,Industry,Sector,Revenue,job_simplified,seniority,Rating Category,job_state,Python_yn,Spark,AWS_yn,Average Salary
The Church of Jesus Christ of Latter-day Saints,"Riverton, UT","Salt Lake City, UT",10000+ employees,Nonprofit Organization,Religious Organizations,Non-Profit,Unknown,data engineer,Senior/Principal,High Rating, UT,0,0,1,87000.0
Maximus Real Estate Partners,"San Francisco, CA","San Francisco, CA",51 to 200 employees,Company - Private,Real Estate,Real Estate,Unknown,data analyst,Other,High Rating, CA,0,0,0,103500.0
Software Engineering Institute,"Pittsburgh, PA","Pittsburgh, PA",501 to 1000 employees,College / University,Colleges & Universities,Education,Unknown,reasearch scientist,Senior/Principal,Low Rating, PA,1,0,0,124000.0
PNNL,"Richland, WA","Richland, WA",1001 to 5000 employees,Government,Energy,"Oil, Gas, Energy & Utilities",$500 million to $1 billion (USD),data scientist,Other,Medium Rating, WA,1,0,0,67000.0
AVANADE,"Washington, DC","Seattle, WA",10000+ employees,Company - Private,IT Services,Information Technology,$2 to $5 billion (USD),data engineer,Other,Medium Rating, DC,0,0,0,87000.0
h2o.ai,"Chicago, IL","Mountain View, CA",201 to 500 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown,data scientist,Other,High Rating, IL,1,1,1,137500.0
PatientPoint,"Cincinnati, OH","Cincinnati, OH",201 to 500 employees,Company - Private,Advertising & Marketing,Business Services,$100 to $500 million (USD),data scientist,Senior/Principal,Medium Rating, OH,1,0,0,100000.0
BlueCross BlueShield of Tennessee,"Chattanooga, TN","Chattanooga, TN",5001 to 10000 employees,Nonprofit Organization,Insurance Carriers,Insurance,$5 to $10 billion (USD),data engineer,Associate,Medium Rating, TN,0,0,0,106500.0
PNNL,"Richland, WA","Richland, WA",1001 to 5000 employees,Government,Energy,"Oil, Gas, Energy & Utilities",$500 million to $1 billion (USD),data scientist,Senior/Principal,Medium Rating, WA,0,0,0,98500.0
KnowBe4,"Clearwater, FL","Clearwater, FL",501 to 1000 employees,Company - Private,Security Services,Business Services,$100 to $500 million (USD),data analyst,Senior/Principal,High Rating, FL,1,0,0,61000.0
KSM Consulting,"Indianapolis, IN","Indianapolis, IN",51 to 200 employees,Company - Private,Consulting,Business Services,Unknown,data scientist,Senior/Principal,High Rating, IN,1,1,1,106500.0
Cogo Labs,"Cambridge, MA","Cambridge, MA",51 to 200 employees,Company - Private,Internet,Information Technology,Unknown,data engineer,Other,Medium Rating, MA,1,1,0,84500.0
Church & Dwight,"Ewing, NJ","Ewing, NJ",1001 to 5000 employees,Company - Public,Consumer Products Manufacturing,Manufacturing,$2 to $5 billion (USD),business intelligence,Senior/Principal,Medium Rating, NJ,1,0,0,109500.0
MassMutual,"Boston, MA","Springfield, MA",5001 to 10000 employees,Company - Private,Insurance Carriers,Insurance,$10+ billion (USD),data scientist,Senior/Principal,Medium Rating, MA,1,1,1,164000.0
Genentech,"South San Francisco, CA","South San Francisco, CA",10000+ employees,Subsidiary or Business Segment,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),data scientist,Senior/Principal,Medium Rating, CA,1,1,0,169000.0
Juniper Networks,"Cupertino, CA","Sunnyvale, CA",5001 to 10000 employees,Company - Public,Telecommunications Services,Telecommunications,$2 to $5 billion (USD),data scientist,Senior/Principal,Medium Rating, CA,1,1,1,142000.0
Takeda Pharmaceuticals,"Boston, MA","OSAKA, Japan",10000+ employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),business intelligence,Other,Medium Rating, MA,0,0,0,76500.0
Legal & General America,"Frederick, MD","Frederick, MD",501 to 1000 employees,Company - Private,Insurance Carriers,Insurance,$500 million to $1 billion (USD),data scientist,Other,Medium Rating, MD,1,0,0,107000.0
Western Digital,"San Jose, CA","San Jose, CA",10000+ employees,Company - Public,Computer Hardware & Software,Information Technology,$10+ billion (USD),data scientist,Associate,Medium Rating, CA,1,0,1,171500.0
Health IQ,"Dallas, TX","Mountain View, CA",201 to 500 employees,Company - Private,Insurance Agencies & Brokerages,Insurance,Unknown,data scientist,Senior/Principal,Medium Rating, TX,0,0,0,96000.0
Nuna,"San Francisco, CA","San Francisco, CA",51 to 200 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown,data scientist,Other,High Rating, CA,0,0,0,142500.0
The Church of Jesus Christ of Latter-day Saints,"Riverton, UT","Salt Lake City, UT",10000+ employees,Nonprofit Organization,Religious Organizations,Non-Profit,Unknown,data engineer,Senior/Principal,High Rating, UT,0,0,0,107000.0
Sunovion,"Marlborough, MA","Marlborough, MA",1001 to 5000 employees,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $2 billion (USD),other scientist,Senior/Principal,Medium Rating, MA,1,0,0,145000.0
National Student Clearinghouse,"Herndon, VA","Herndon, VA",201 to 500 employees,Nonprofit Organization,Colleges & Universities,Education,$25 to $50 million (USD),data analyst,Senior/Principal,Low Rating, VA,1,0,0,61500.0
Tower Health,"West Reading, PA","Reading, PA",5001 to 10000 employees,Nonprofit Organization,Health Care Services & Hospitals,Health Care,Unknown,other scientist,Other,Medium Rating, PA,0,0,0,42640.0
State of Wisconsin Investment Board,"Madison, WI","Madison, WI",51 to 200 employees,Government,Investment Banking & Asset Management,Finance,$50 to $100 million (USD),data scientist,Entry Level,Low Rating, WI,1,0,0,120000.0
Rubius Therapeutics,"Cambridge, MA","Cambridge, MA",201 to 500 employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million (USD),other scientist,Other,High Rating, MA,0,0,0,62000.0
Autodesk,"San Francisco, CA","San Rafael, CA",5001 to 10000 employees,Company - Public,Computer Hardware & Software,Information Technology,$2 to $5 billion (USD),data scientist,Senior/Principal,High Rating, CA,1,1,0,150500.0
OneMagnify,"Dearborn, MI","Detroit, MI",201 to 500 employees,Company - Private,Advertising & Marketing,Business Services,Unknown,other analytics,Senior/Principal,High Rating, MI,0,0,0,87500.0
IZEA,"Winter Park, FL","Winter Park, FL",51 to 200 employees,Company - Public,Advertising & Marketing,Business Services,$25 to $50 million (USD),data engineer,Other,High Rating, FL,1,1,1,71500.0
Vionic Group,"San Rafael, CA","San Rafael, CA",51 to 200 employees,Subsidiary or Business Segment,"Department, Clothing, & Shoe Stores",Retail,$100 to $500 million (USD),data analyst,Other,Medium Rating, CA,0,0,0,51500.0
Takeda Pharmaceuticals,"San Diego, CA","OSAKA, Japan",10000+ employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),other scientist,Senior/Principal,Medium Rating, CA,0,0,0,151500.0
Dodge Data & Analytics,"Hamilton, NJ","Hamilton, NJ",201 to 500 employees,Company - Private,IT Services,Information Technology,Unknown,data analyst,Senior/Principal,Low Rating, NJ,1,0,0,77500.0
Takeda Pharmaceuticals,"Boston, MA","OSAKA, Japan",10000+ employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),other scientist,Senior/Principal,Medium Rating, MA,0,0,0,140000.0
Plymouth Rock Assurance,"Woodbridge, NJ","Boston, MA",1001 to 5000 employees,Company - Private,Insurance Carriers,Insurance,$10 to $25 million (USD),data scientist,Senior/Principal,Medium Rating, NJ,0,0,0,98500.0
CA-One Tech Cloud,"San Francisco, CA","Fremont, CA",51 to 200 employees,Company - Private,IT Services,Information Technology,$5 to $10 million (USD),data scientist,Senior/Principal,No Rating, CA,1,0,1,225000.0
Beebe Healthcare,"Lewes, DE","Lewes, DE",1001 to 5000 employees,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$100 to $500 million (USD),other scientist,Other,Medium Rating, DE,0,0,0,57200.0
Takeda Pharmaceuticals,"Boston, MA","OSAKA, Japan",10000+ employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),other scientist,Senior/Principal,Medium Rating, MA,0,0,0,161500.0
Argo Group US,"New York, NY","Hamilton, Bermuda",1001 to 5000 employees,Company - Public,Insurance Carriers,Insurance,$1 to $2 billion (USD),data scientist,Senior/Principal,Medium Rating, NY,1,1,1,147000.0
Associated Electric Cooperative,"Springfield, MO","Springfield, MO",501 to 1000 employees,Company - Private,Energy,"Oil, Gas, Energy & Utilities",$1 to $2 billion (USD),data analyst,Other,High Rating, MO,0,0,0,61000.0
Software Engineering Institute,"Pittsburgh, PA","Pittsburgh, PA",501 to 1000 employees,College / University,Colleges & Universities,Education,Unknown,machine learning engineer,Other,Low Rating, PA,1,0,0,120000.0
PennyMac,"Phoenix, AZ","Westlake Village, CA",1001 to 5000 employees,Company - Public,Lending,Finance,$500 million to $1 billion (USD),data scientist,Executive/Director,Medium Rating, AZ,1,0,0,124500.0
Zest AI,"Burbank, CA","Burbank, CA",51 to 200 employees,Company - Private,Financial Analytics & Research,Finance,$50 to $100 million (USD),data scientist,Senior/Principal,Medium Rating, CA,1,0,0,148000.0
DECISIVE ANALYTICS Corporation,"Huntsville, AL","Arlington, VA",51 to 200 employees,Company - Private,Aerospace & Defense,Aerospace & Defense,$25 to $50 million (USD),data analyst,Other,High Rating, AL,1,0,0,59000.0
The Hanover Insurance Group,"Worcester, MA","Worcester, MA",5001 to 10000 employees,Company - Public,Insurance Carriers,Insurance,$5 to $10 billion (USD),data scientist,Senior/Principal,Medium Rating, MA,1,0,0,146500.0
Karyopharm Therapeutics Inc.,"Newton, MA","Newton, MA",201 to 500 employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown,other scientist,Other,Low Rating, MA,0,0,0,91500.0
Tempus Labs,"Chicago, IL","Chicago, IL",501 to 1000 employees,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown,machine learning engineer,Senior/Principal,Medium Rating, IL,1,0,1,133000.0
Recursion Pharmaceuticals,"Salt Lake City, UT","Salt Lake City, UT",51 to 200 employees,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $5 million (USD),data scientist,Senior/Principal,High Rating, UT,1,0,1,140500.0
P2 Energy Solutions,"Lafayette, LA","Denver, CO",501 to 1000 employees,Company - Private,Computer Hardware & Software,Information Technology,Unknown,data engineer,Other,Medium Rating, LA,0,0,0,70500.0
Rochester Regional Health,"Rochester, NY","Rochester, NY",10000+ employees,Hospital,Health Care Services & Hospitals,Health Care,$500 million to $1 billion (USD),other scientist,Senior/Principal,Medium Rating, NY,0,0,0,84500.0
ClearEdge,"Annapolis Junction, MD","Annapolis Junction, MD",51 to 200 employees,Company - Private,Computer Hardware & Software,Information Technology,$5 to $10 million (USD),software engineer,Other,High Rating, MD,0,0,0,93500.0
Rubius Therapeutics,"Cambridge, MA","Cambridge, MA",201 to 500 employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million (USD),other scientist,Senior/Principal,High Rating, MA,0,0,0,134500.0
Tapjoy,"San Francisco, CA","San Francisco, CA",201 to 500 employees,Company - Private,Internet,Information Technology,$10 to $25 million (USD),machine learning engineer,Associate,Medium Rating, CA,1,1,0,181000.0
Rochester Regional Health,"Rochester, NY","Rochester, NY",10000+ employees,Hospital,Health Care Services & Hospitals,Health Care,$500 million to $1 billion (USD),other scientist,Senior/Principal,Medium Rating, NY,0,0,0,84500.0
Credit Sesame,"Mountain View, CA","Mountain View, CA",51 to 200 employees,Company - Private,Internet,Information Technology,$50 to $100 million (USD),data engineer,Senior/Principal,High Rating, CA,1,1,1,205000.0
San Manuel Casino,"Highland, CA","Highland, CA",1001 to 5000 employees,Company - Private,Gambling,"Arts, Entertainment & Recreation",$100 to $500 million (USD),data analyst,Other,Medium Rating, CA,0,0,0,48500.0
Texas Health Huguley Hospital,"Burleson, TX","Arlington, TX",1001 to 5000 employees,Hospital,Health Care Services & Hospitals,Health Care,$50 to $100 million (USD),other scientist,Other,High Rating, TX,0,0,1,44720.0
Teasdale Latin Foods,"Hoopeston, IL","Flower Mound, TX",501 to 1000 employees,Company - Private,Food & Beverage Manufacturing,Manufacturing,$100 to $500 million (USD),other scientist,Other,Low Rating, IL,0,0,0,52500.0
Software Engineering Institute,"Pittsburgh, PA","Pittsburgh, PA",501 to 1000 employees,College / University,Colleges & Universities,Education,Unknown,machine learning engineer,Senior/Principal,Low Rating, PA,0,0,0,124000.0
Central California Alliance for Health,"Scotts Valley, CA","Scotts Valley, CA",501 to 1000 employees,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$500 million to $1 billion (USD),other analytics,Senior/Principal,Medium Rating, CA,0,0,0,64000.0
Pilot Flying J Travel Centers LLC,"Knoxville, TN","Knoxville, TN",10000+ employees,Company - Private,Gas Stations,Retail,$10+ billion (USD),data engineer,Senior/Principal,Medium Rating, TN,1,0,0,98000.0
Beebe Healthcare,"Millville, DE","Lewes, DE",1001 to 5000 employees,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$100 to $500 million (USD),other scientist,Other,Medium Rating, DE,0,0,0,57200.0
Palermo's Pizza,"Milwaukee, WI","Milwaukee, WI",501 to 1000 employees,Company - Private,Food & Beverage Manufacturing,Manufacturing,Unknown,software engineer,Other,Medium Rating, WI,0,0,0,54000.0
Advanced BioScience Laboratories,"Rockville, MD","Rockville, MD",201 to 500 employees,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$25 to $50 million (USD),other scientist,Associate,Low Rating, MD,0,0,0,81000.0
Echo Global Logistics,"Chicago, IL","Chicago, IL",1001 to 5000 employees,Company - Public,Transportation Management,Transportation & Logistics,$2 to $5 billion (USD),data engineer,Senior/Principal,Medium Rating, IL,0,0,0,107500.0
Truckstop.com,"Chicago, IL","New Plymouth, ID",501 to 1000 employees,Company - Private,Logistics & Supply Chain,Transportation & Logistics,Unknown,data scientist,Other,Medium Rating, IL,1,0,1,112500.0
Lockheed Martin,"Herndon, VA","Bethesda, MD",10000+ employees,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD),data scientist,Other,Medium Rating, VA,1,1,0,89000.0
Acuity Insurance,"Sheboygan, WI","Sheboygan, WI",1001 to 5000 employees,Company - Private,Insurance Carriers,Insurance,$1 to $2 billion (USD),data scientist,Senior/Principal,High Rating, WI,0,0,0,100500.0
Fareportal,"New York, NY","New York, NY",1001 to 5000 employees,Company - Private,Travel Agencies,Travel & Tourism,$2 to $5 billion (USD),data analyst,Other,Medium Rating, NY,0,0,0,65000.0
"Veterans Affairs, Veterans Health Administration","New Orleans, LA","Washington, DC",10000+ employees,Government,Federal Agencies,Government,Unknown,other scientist,Other,Medium Rating, LA,0,0,0,41600.0
Credera,"Dallas, TX","Dallas, TX",201 to 500 employees,Subsidiary or Business Segment,Consulting,Business Services,Unknown,data scientist,Other,High Rating, TX,1,1,1,72500.0
KnowBe4,"Clearwater, FL","Clearwater, FL",501 to 1000 employees,Company - Private,Security Services,Business Services,$100 to $500 million (USD),data analyst,Senior/Principal,High Rating, FL,1,0,0,61000.0
Church & Dwight,"Ewing, NJ","Ewing, NJ",1001 to 5000 employees,Company - Public,Consumer Products Manufacturing,Manufacturing,$2 to $5 billion (USD),business intelligence,Senior/Principal,Medium Rating, NJ,1,0,0,109500.0
Cogo Labs,"Cambridge, MA","Cambridge, MA",51 to 200 employees,Company - Private,Internet,Information Technology,Unknown,data engineer,Other,Medium Rating, MA,1,1,0,84500.0
Spectrum Communications and Consulting,"Chicago, IL","Chicago, IL",51 to 200 employees,Company - Private,Advertising & Marketing,Business Services,$10 to $25 million (USD),data scientist,Other,Medium Rating, IL,0,0,0,87500.0
NCSOFT,"San Mateo, CA","Seoul, South Korea",1001 to 5000 employees,Company - Public,Video Games,Media,$10+ billion (USD),data analyst,Other,Medium Rating, CA,1,0,0,92500.0
MITRE,"McLean, VA","Bedford, MA",5001 to 10000 employees,Nonprofit Organization,Federal Agencies,Government,$1 to $2 billion (USD),data scientist,Associate,Medium Rating, VA,1,1,0,81500.0
"Dayton Freight Lines, Inc.","Dayton, OH","Dayton, OH",1001 to 5000 employees,Company - Private,Trucking,Transportation & Logistics,Unknown,software engineer,Entry Level,High Rating, OH,0,0,0,79000.0
MassMutual,"Boston, MA","Springfield, MA",5001 to 10000 employees,Company - Private,Insurance Carriers,Insurance,$10+ billion (USD),data scientist,Senior/Principal,Medium Rating, MA,1,1,1,164000.0
Genentech,"South San Francisco, CA","South San Francisco, CA",10000+ employees,Subsidiary or Business Segment,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),data scientist,Senior/Principal,Medium Rating, CA,1,1,0,169000.0
Juniper Networks,"Cupertino, CA","Sunnyvale, CA",5001 to 10000 employees,Company - Public,Telecommunications Services,Telecommunications,$2 to $5 billion (USD),data scientist,Senior/Principal,Medium Rating, CA,1,1,1,142000.0
Community Action Partnership of San Luis Obispo,"Parlier, CA","San Luis Obispo, CA",501 to 1000 employees,Nonprofit Organization,Social Assistance,Non-Profit,$50 to $100 million (USD),data analyst,Other,Low Rating, CA,0,0,0,47500.0
Takeda Pharmaceuticals,"Boston, MA","OSAKA, Japan",10000+ employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),business intelligence,Other,Medium Rating, MA,0,0,0,76500.0
TrueAccord,"San Francisco, CA","San Francisco, CA",51 to 200 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown,data analyst,Other,Medium Rating, CA,1,0,0,69000.0
DRB Systems,"Meridian, ID","Akron, OH",201 to 500 employees,Company - Private,Computer Hardware & Software,Information Technology,$50 to $100 million (USD),data analyst,Other,High Rating, ID,1,0,0,49000.0
Western Digital,"San Jose, CA","San Jose, CA",10000+ employees,Company - Public,Computer Hardware & Software,Information Technology,$10+ billion (USD),data scientist,Associate,Medium Rating, CA,1,0,1,171500.0
Legal & General America,"Frederick, MD","Frederick, MD",501 to 1000 employees,Company - Private,Insurance Carriers,Insurance,$500 million to $1 billion (USD),data scientist,Other,Medium Rating, MD,1,0,0,107000.0
Corcentric,"Cherry Hill, NJ","Cherry Hill, NJ",201 to 500 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown,data analyst,Other,Medium Rating, NJ,0,0,0,59000.0
U.Group,"Indianapolis, IN","Arlington, VA",201 to 500 employees,Company - Private,IT Services,Information Technology,$25 to $50 million (USD),data scientist,Other,Medium Rating, IN,0,0,1,88500.0
The Church of Jesus Christ of Latter-day Saints,"Riverton, UT","Salt Lake City, UT",10000+ employees,Nonprofit Organization,Religious Organizations,Non-Profit,Unknown,data engineer,Senior/Principal,High Rating, UT,0,0,0,107000.0
Pfizer,"Cambridge, MA","New York, NY",10000+ employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),data scientist,Other,High Rating, MA,1,0,1,86500.0
SMC 3,"Louisville, KY","Peachtree City, GA",51 to 200 employees,Nonprofit Organization,Logistics & Supply Chain,Transportation & Logistics,$10 to $25 million (USD),data scientist,Other,High Rating, KY,1,0,0,84000.0
Systems Evolution Inc.,"New York, NY","Cincinnati, OH",201 to 500 employees,Company - Private,Consulting,Business Services,$50 to $100 million (USD),other analytics,Other,High Rating, NY,1,0,0,114500.0
Sunovion,"Marlborough, MA","Marlborough, MA",1001 to 5000 employees,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $2 billion (USD),other scientist,Senior/Principal,Medium Rating, MA,1,0,0,145000.0
Eventbrite,"Nashville, TN","San Francisco, CA",1001 to 5000 employees,Company - Public,Internet,Information Technology,$100 to $500 million (USD),data engineer,Other,High Rating, TN,1,1,1,88000.0
Centro,"Chicago, IL","Chicago, IL",501 to 1000 employees,Company - Private,Internet,Information Technology,$100 to $500 million (USD),data engineer,Other,High Rating, IL,1,1,1,100000.0
National Student Clearinghouse,"Herndon, VA","Herndon, VA",201 to 500 employees,Nonprofit Organization,Colleges & Universities,Education,$25 to $50 million (USD),data analyst,Senior/Principal,Low Rating, VA,1,0,0,61500.0
comScore,"Portland, OR","Reston, VA",1001 to 5000 employees,Company - Public,Advertising & Marketing,Business Services,$1 to $2 billion (USD),data scientist,Other,Low Rating, OR,1,1,0,96500.0
SullivanCotter,"Minneapolis, MN","Chicago, IL",201 to 500 employees,Company - Private,Consulting,Business Services,Unknown,data analyst,Other,High Rating, MN,1,0,0,76000.0
NPD,"Port Washington, NY","Port Washington, NY",1001 to 5000 employees,Company - Private,Research & Development,Business Services,$100 to $500 million (USD),data scientist,Other,Medium Rating, NY,0,0,0,15500.0
Bakery Agency,"Austin, TX","Austin, TX",1 to 50 employees,Company - Private,Advertising & Marketing,Business Services,Unknown,data scientist,Other,High Rating, TX,1,0,0,83500.0
State of Wisconsin Investment Board,"Madison, WI","Madison, WI",51 to 200 employees,Government,Investment Banking & Asset Management,Finance,$50 to $100 million (USD),data scientist,Entry Level,Low Rating, WI,1,0,0,120000.0
Genentech,"South San Francisco, CA","South San Francisco, CA",10000+ employees,Subsidiary or Business Segment,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),data scientist,Other,Medium Rating, CA,0,0,0,163000.0
Blue Cross & Blue Shield of Rhode Island,"Providence, RI","Providence, RI",501 to 1000 employees,Nonprofit Organization,Insurance Carriers,Insurance,Unknown,data analyst,Senior/Principal,Medium Rating, RI,0,0,1,100000.0
Boys Town,"Omaha, NE","Omaha, NE",1001 to 5000 employees,Nonprofit Organization,Social Assistance,Non-Profit,Unknown,reasearch scientist,Other,Medium Rating, NE,0,0,0,52500.0
Tower Health,"West Reading, PA","Reading, PA",5001 to 10000 employees,Nonprofit Organization,Health Care Services & Hospitals,Health Care,Unknown,other scientist,Other,Medium Rating, PA,0,0,0,42640.0
The HSC Health Care System,"Washington, DC","Washington, DC",501 to 1000 employees,Nonprofit Organization,Health Care Services & Hospitals,Health Care,Unknown,data analyst,Associate,Medium Rating, DC,0,0,0,50000.0
Pro-Sphere Tek,"Austin, TX","Alexandria, VA",201 to 500 employees,Company - Private,Consulting,Business Services,$50 to $100 million (USD),data engineer,Other,Medium Rating, TX,1,0,1,93000.0
Ameritas Life Insurance Corp,"Cincinnati, OH","Lincoln, NE",1001 to 5000 employees,Company - Private,Insurance Agencies & Brokerages,Insurance,$2 to $5 billion (USD),data scientist,Other,Medium Rating, OH,1,0,0,94500.0
Autodesk,"San Francisco, CA","San Rafael, CA",5001 to 10000 employees,Company - Public,Computer Hardware & Software,Information Technology,$2 to $5 billion (USD),data scientist,Senior/Principal,High Rating, CA,1,1,0,150500.0
Genworth,"Raleigh, NC","Richmond, VA",1001 to 5000 employees,Company - Public,Insurance Carriers,Insurance,$5 to $10 billion (USD),data scientist,Other,Medium Rating, NC,1,1,1,102000.0
Rubius Therapeutics,"Cambridge, MA","Cambridge, MA",201 to 500 employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million (USD),other scientist,Other,High Rating, MA,0,0,0,62000.0
OneMagnify,"Dearborn, MI","Detroit, MI",201 to 500 employees,Company - Private,Advertising & Marketing,Business Services,Unknown,other analytics,Senior/Principal,High Rating, MI,0,0,0,87500.0
Pfizer,"Groton, CT","New York, NY",10000+ employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),data scientist,Other,High Rating, CT,0,0,1,84000.0
Novetta,"Herndon, VA","Mc Lean, VA",501 to 1000 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD),data scientist,Other,High Rating, VA,1,0,1,143000.0
"Numeric, LLC","Phila, PA","Chadds Ford, PA",1 to 50 employees,Company - Private,Staffing & Outsourcing,Business Services,$5 to $10 million (USD),data scientist,Senior/Principal,Medium Rating, PA,1,1,1,155000.0
IZEA,"Winter Park, FL","Winter Park, FL",51 to 200 employees,Company - Public,Advertising & Marketing,Business Services,$25 to $50 million (USD),data engineer,Other,High Rating, FL,1,1,1,71500.0
Trace Data,"Oakland, CA","Santa Ana, CA",51 to 200 employees,Company - Private,Insurance Carriers,Insurance,$10 to $25 million (USD),data scientist,Other,Medium Rating, CA,1,1,0,108000.0
Takeda Pharmaceuticals,"San Diego, CA","OSAKA, Japan",10000+ employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),other scientist,Senior/Principal,Medium Rating, CA,0,0,0,151500.0
Vionic Group,"San Rafael, CA","San Rafael, CA",51 to 200 employees,Subsidiary or Business Segment,"Department, Clothing, & Shoe Stores",Retail,$100 to $500 million (USD),data analyst,Other,Medium Rating, CA,0,0,0,51500.0
Takeda Pharmaceuticals,"Boston, MA","OSAKA, Japan",10000+ employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),other scientist,Senior/Principal,Medium Rating, MA,0,0,0,140000.0
Dodge Data & Analytics,"Hamilton, NJ","Hamilton, NJ",201 to 500 employees,Company - Private,IT Services,Information Technology,Unknown,data analyst,Senior/Principal,Low Rating, NJ,1,0,0,77500.0
Clearwater Analytics,"Boise, ID","Boise, ID",501 to 1000 employees,Company - Private,Investment Banking & Asset Management,Finance,$50 to $100 million (USD),data analyst,Other,High Rating, ID,0,0,0,63500.0
"Tekvalley, Corp.","San Francisco, CA","Pleasanton, CA",1 to 50 employees,Company - Private,IT Services,Information Technology,Less than $1 million (USD),data scientist,Other,High Rating, CA,1,0,0,109000.0
BWX Technologies,"Oak Ridge, TN","Lynchburg, VA",5001 to 10000 employees,Company - Public,Aerospace & Defense,Aerospace & Defense,$500 million to $1 billion (USD),data scientist,Other,Medium Rating, TN,1,0,0,96000.0
CA-One Tech Cloud,"San Francisco, CA","Fremont, CA",51 to 200 employees,Company - Private,IT Services,Information Technology,$5 to $10 million (USD),data scientist,Senior/Principal,No Rating, CA,1,0,1,225000.0
PennyMac,"Agoura Hills, CA","Westlake Village, CA",1001 to 5000 employees,Company - Public,Lending,Finance,$500 million to $1 billion (USD),data engineer,Other,Medium Rating, CA,1,0,1,101000.0
Plymouth Rock Assurance,"Woodbridge, NJ","Boston, MA",1001 to 5000 employees,Company - Private,Insurance Carriers,Insurance,$10 to $25 million (USD),data scientist,Senior/Principal,Medium Rating, NJ,0,0,0,98500.0
Vermeer,"Pella, IA","Pella, IA",1001 to 5000 employees,Company - Private,Industrial Manufacturing,Manufacturing,$1 to $2 billion (USD),data engineer,Entry Level,Medium Rating, IA,0,0,0,77500.0
Takeda Pharmaceuticals,"Boston, MA","OSAKA, Japan",10000+ employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),other scientist,Senior/Principal,Medium Rating, MA,0,0,0,161500.0
Beebe Healthcare,"Lewes, DE","Lewes, DE",1001 to 5000 employees,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$100 to $500 million (USD),other scientist,Other,Medium Rating, DE,0,0,0,57200.0
Argo Group US,"New York, NY","Hamilton, Bermuda",1001 to 5000 employees,Company - Public,Insurance Carriers,Insurance,$1 to $2 billion (USD),data scientist,Senior/Principal,Medium Rating, NY,1,1,1,147000.0
L&T Infotech,"San Ramon, CA","Mumbai, India",10000+ employees,Company - Public,IT Services,Information Technology,Unknown,data scientist,Other,Medium Rating, CA,1,0,0,90000.0
OceanFirst Financial,"Red Bank, NJ","Toms River, NJ",501 to 1000 employees,Company - Public,Banks & Credit Unions,Finance,$5 to $10 billion (USD),data analyst,Other,High Rating, NJ,0,0,1,58000.0
Associated Electric Cooperative,"Springfield, MO","Springfield, MO",501 to 1000 employees,Company - Private,Energy,"Oil, Gas, Energy & Utilities",$1 to $2 billion (USD),data analyst,Other,High Rating, MO,0,0,0,61000.0
